active_not_recruiting_days,completed_days,not_yet_recruiting_days,recruiting_days,suspended_days,terminated_days,enrolling_by_invitation_days,unknown_days,withheld_days,Study Status,Study Results,Sex,Age,Enrollment,Funder Type,Location Count,Country Count,Study Title Length,Brief Summary Length,Primary Outcome Measures Length,Secondary Outcome Measures Length,Study Title Word Count,Brief Summary Word Count,Primary Outcome Measures Word Count,Secondary Outcome Measures Word Count,Primary Outcome Measures Count,Secondary Outcome Measures Count,study_version,minimum_age,maximum_age,num_conditions,NO_INTERVENTION,OTHER,PLACEBO_COMPARATOR,ACTIVE_COMPARATOR,SHAM_COMPARATOR,EXPERIMENTAL,Therapeutic Area,DRUG_count,OTHER_count,BIOLOGICAL_count,RADIATION_count,DIETARY_SUPPLEMENT_count,PROCEDURE_count,DEVICE_count,COMBINATION_PRODUCT_count,GENETIC_count,Allocation,Intervention Model,Masking,Primary Purpose,Trial Endpoint Time in Days,Presence of 'Overall Survival' (OS),Presence of 'Progression Free Survival' (PFS),Presence of 'Objective Response Rate' (ORR),Indication of Comparator Arm Type,Mention of Specific Patient Population or Disease Subtype,Highlighting of Key Efficacy Endpoints (from Summary),Clarity of Primary Objective Statement,Start Date_missing,Start_Date_Year,Start_Date_Month_Sin,Start_Date_Month_Cos,Primary Completion Date_missing,Primary_Completion_Date_Year,Primary_Completion_Date_Month_Sin,Primary_Completion_Date_Month_Cos,Completion Date_missing,Completion_Date_Year,Completion_Date_Month_Sin,Completion_Date_Month_Cos,First Posted_missing,First_Posted_Year,First_Posted_Month_Sin,First_Posted_Month_Cos,Last Update Posted_missing,Last_Update_Posted_Year,Last_Update_Posted_Month_Sin,Last_Update_Posted_Month_Cos,Study Duration,Time_to_Primary_Completion_Days,Days_Since_First_Posted,Days_Since_Last_Update_Posted,Sponsor_Success_Rate,TA_Success_Rate,Outcome
2723.0,634.0,25.0,688.0,0.0,0.0,0.0,0.0,0.0,COMPLETED,YES,ALL,"ADULT, OLDER_ADULT",713.0,INDUSTRY,236.0,26.0,151,152,1051.0,7694.0,22,22,171.0,1208.0,2,11,47,18,130,1,0.0,0.0,1.0,0.0,0.0,1.0,Oncology,1,1,0,0,0,0,0,0,0,RANDOMIZED,PARALLEL,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,1460.0,True,True,False,Single-Arm,True,False,False,0,2014.0,0.8660254037844387,-0.4999999999999998,0,2017.0,0.49999999999999994,0.8660254037844387,0,2023.0,-0.4999999999999997,-0.8660254037844388,0,2014,1.0,6.123233995736766e-17,0,2023,-1.0,-1.8369701987210297e-16,3379,1007,4092,622,0.4925373134328358,0.3514644351464435,1
3038.0,1181.0,74.0,316.0,0.0,0.0,0.0,0.0,0.0,COMPLETED,YES,ALL,"ADULT, OLDER_ADULT",405.0,INDUSTRY,95.0,14.0,204,209,766.0,2790.0,28,32,121.0,418.0,2,5,89,18,130,1,0.0,0.0,0.0,1.0,0.0,1.0,Oncology,3,0,1,0,0,0,0,0,0,RANDOMIZED,PARALLEL,NONE,TREATMENT,2880.0,True,False,True,Single-Arm,False,True,False,0,2012.0,-0.5000000000000004,0.8660254037844384,0,2016.0,0.49999999999999994,0.8660254037844387,0,2020.0,-0.5000000000000004,0.8660254037844384,0,2012,-0.8660254037844386,0.5000000000000001,0,2022,1.0,6.123233995736766e-17,2922,1157,4608,1170,0.43103448275862066,0.3514644351464435,1
112.0,0.0,27.0,2037.0,0.0,0.0,0.0,0.0,0.0,ACTIVE_NOT_RECRUITING,NO,ALL,"ADULT, OLDER_ADULT",1147.0,INDUSTRY,158.0,24.0,234,517,201.0,1485.0,28,70,34.0,277.0,2,19,81,18,130,1,0.0,0.0,0.0,1.0,0.0,2.0,Oncology,6,0,2,0,0,0,0,0,0,RANDOMIZED,PARALLEL,NONE,TREATMENT,1825.0,False,False,False,Single-Arm,False,True,True,0,2019.0,-0.4999999999999997,-0.8660254037844388,0,2024.0,-0.4999999999999997,-0.8660254037844388,0,2026.0,0.49999999999999994,-0.8660254037844387,0,2019,1.2246467991473532e-16,-1.0,0,2025,0.49999999999999994,0.8660254037844387,2496,1827,2175,133,0.43103448275862066,0.3514644351464435,1
784.0,1188.0,106.0,1412.0,0.0,0.0,0.0,0.0,0.0,COMPLETED,YES,ALL,"ADULT, OLDER_ADULT",560.0,INDUSTRY,125.0,19.0,192,368,215.0,2990.0,24,57,42.0,473.0,1,4,83,18,130,1,0.0,0.0,0.0,1.0,0.0,1.0,Oncology,2,0,0,1,0,0,0,0,0,RANDOMIZED,PARALLEL,NONE,TREATMENT,1095.0,True,False,False,Single-Arm,False,False,True,0,2016.0,0.8660254037844386,0.5000000000000001,0,2019.0,0.0,1.0,0,2022.0,0.8660254037844386,0.5000000000000001,0,2015,-0.5000000000000004,0.8660254037844384,0,2023,0.8660254037844386,0.5000000000000001,2191,1036,3483,836,0.43103448275862066,0.3514644351464435,0
1410.0,2979.0,116.0,1358.0,0.0,0.0,0.0,0.0,0.0,COMPLETED,YES,ALL,"CHILD, ADULT, OLDER_ADULT",274.0,INDUSTRY,122.0,6.0,51,96,150.0,5789.0,6,15,22.0,877.0,1,16,65,16,70,1,0.0,0.0,0.0,0.0,0.0,1.0,Neurology,1,0,0,0,0,0,0,0,0,NA,SINGLE_GROUP,NONE,TREATMENT,365.0,False,False,False,Single-Arm,False,False,False,0,2009.0,-0.4999999999999997,-0.8660254037844388,0,2017.0,1.0,6.123233995736766e-17,0,2017.0,1.0,6.123233995736766e-17,0,2009,0.8660254037844387,-0.4999999999999998,0,2018,1.2246467991473532e-16,-1.0,2800,2800,5888,2540,0.14285714285714285,0.4262295081967213,1
2886.0,1208.0,63.0,530.0,0.0,0.0,0.0,0.0,0.0,COMPLETED,YES,ALL,"ADULT, OLDER_ADULT",821.0,INDUSTRY,168.0,24.0,132,253,950.0,7864.0,17,38,150.0,1191.0,1,9,78,18,130,1,0.0,0.0,0.0,1.0,0.0,1.0,Oncology,1,0,1,0,0,0,0,0,0,RANDOMIZED,PARALLEL,NONE,TREATMENT,900.0,True,False,False,,False,True,False,0,2012.0,-1.0,-1.8369701987210297e-16,0,2015.0,0.8660254037844387,-0.4999999999999998,0,2021.0,1.2246467991473532e-16,-1.0,0,2012,-0.4999999999999997,-0.8660254037844388,0,2022,-0.4999999999999997,-0.8660254037844388,3195,942,4700,1048,0.43103448275862066,0.3514644351464435,1
3319.0,32.0,71.0,517.0,0.0,0.0,0.0,0.0,0.0,COMPLETED,YES,ALL,"ADULT, OLDER_ADULT",1390.0,INDUSTRY,189.0,28.0,135,239,1955.0,2147.0,17,35,293.0,330.0,3,3,96,18,130,2,0.0,0.0,0.0,1.0,0.0,1.0,Oncology,1,0,2,0,0,0,0,0,0,RANDOMIZED,PARALLEL,NONE,TREATMENT,930.0,True,True,True,Single-Arm,False,True,True,0,2014.0,-1.0,-1.8369701987210297e-16,0,2017.0,0.49999999999999994,-0.8660254037844387,0,2024.0,-0.5000000000000004,0.8660254037844384,0,2014,-0.8660254037844384,-0.5000000000000004,0,2025,0.8660254037844387,-0.4999999999999998,3714,974,3939,44,0.43103448275862066,0.3514644351464435,1
2988.0,1232.0,99.0,399.0,0.0,0.0,0.0,0.0,0.0,COMPLETED,YES,ALL,"ADULT, OLDER_ADULT",272.0,INDUSTRY,127.0,21.0,163,219,1515.0,8429.0,22,33,237.0,1297.0,3,9,54,18,130,1,0.0,0.0,0.0,0.0,0.0,2.0,Oncology,1,0,1,0,0,0,0,0,0,RANDOMIZED,PARALLEL,NONE,TREATMENT,750.0,True,False,False,Single-Arm,False,True,False,0,2012.0,-1.0,-1.8369701987210297e-16,0,2014.0,-0.8660254037844386,0.5000000000000001,0,2021.0,-0.4999999999999997,-0.8660254037844388,0,2012,1.2246467991473532e-16,-1.0,0,2022,-0.5000000000000004,0.8660254037844384,3226,761,4731,926,0.43103448275862066,0.3514644351464435,1
1350.0,1678.0,34.0,497.0,0.0,0.0,0.0,0.0,0.0,COMPLETED,YES,ALL,"ADULT, OLDER_ADULT",622.0,INDUSTRY,,,149,473,768.0,9797.0,17,63,115.0,1609.0,3,14,51,18,130,1,0.0,0.0,0.0,1.0,0.0,1.0,Oncology,4,0,1,0,0,0,0,0,0,RANDOMIZED,PARALLEL,NONE,TREATMENT,1080.0,True,False,False,Single-Arm,False,True,False,0,2015.0,-1.0,-1.8369701987210297e-16,0,2019.0,1.0,6.123233995736766e-17,0,2020.0,-0.8660254037844386,0.5000000000000001,0,2015,-0.8660254037844384,-0.5000000000000004,0,2021,-0.5000000000000004,0.8660254037844384,1858,1278,3574,1291,0.3968253968253968,0.3514644351464435,0
1871.0,1090.0,33.0,637.0,0.0,0.0,0.0,0.0,0.0,COMPLETED,YES,ALL,"ADULT, OLDER_ADULT",763.0,INDUSTRY,,,186,1260,3857.0,11201.0,20,179,665.0,1854.0,5,11,54,18,130,1,0.0,0.0,1.0,0.0,0.0,2.0,Oncology,4,0,1,0,0,0,0,0,0,RANDOMIZED,PARALLEL,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,1260.0,True,True,False,SOC,False,True,False,0,2015.0,1.2246467991473532e-16,-1.0,0,2019.0,0.8660254037844386,0.5000000000000001,0,2022.0,0.49999999999999994,-0.8660254037844387,0,2015,1.2246467991473532e-16,-1.0,0,2023,1.0,6.123233995736766e-17,2527,1339,3636,805,0.3968253968253968,0.3514644351464435,0
