Trial_ID,Indication of Comparator Arm Type,Mention of Specific Patient Population or Disease Subtype,Highlighting of Key Efficacy Endpoints (from Summary),Clarity of Primary Objective Statement
NCT02125461,Single-Arm,True,False,False
NCT01721746,Single-Arm,False,True,False
NCT04008030,Single-Arm,False,True,True
NCT02617589,Single-Arm,False,False,True
NCT00910247,Single-Arm,False,False,False
NCT01668784,,False,True,False
NCT02231749,Single-Arm,False,True,True
NCT01642004,Single-Arm,False,True,False
NCT02555657,Single-Arm,False,True,False
NCT02494583,SOC,False,True,False
NCT02684292,,False,True,True
NCT02362594,Single-Arm,False,True,True
NCT01074047,Single-Arm,True,True,True
NCT04303780,Single-Arm,True,False,False
NCT02576977,SOC,False,True,True
NCT02625623,Single-Arm,False,False,False
NCT02625610,Single-Arm,False,False,False
NCT02853331,Single-Arm,False,True,True
NCT02220894,SOC,False,True,False
NCT01908426,Single-Arm,False,True,True
NCT05418673,Single-Arm,True,False,False
NCT02576574,Single-Arm,False,True,False
NCT02684006,,False,False,False
NCT02788279,SOC,False,False,False
NCT02027428,SOC,False,False,False
NCT02008227,,False,False,False
NCT01844505,Single-Arm,False,True,True
NCT02763579,Placebo,False,False,False
NCT02979899,Single-Arm,False,False,False
NCT02425891,,False,False,False
NCT05827081,Single-Arm,False,False,False
NCT01057810,Single-Arm,False,False,True
NCT01450761,Single-Arm,False,False,False
NCT03924869,Single-Arm,True,True,True
NCT01161498,Single-Arm,False,False,False
NCT00769704,Single-Arm,True,False,False
NCT02013167,SOC,False,True,False
NCT03155997,Single-Arm,False,False,True
NCT01160211,Single-Arm,False,False,False
NCT00002093,Single-Arm,False,True,False
NCT04427072,Single-Arm,True,False,False
NCT00887822,,False,False,False
NCT02437318,Single-Arm,False,True,False
NCT01974752,Single-Arm,False,False,False
NCT03642132,Active,False,False,False
NCT02107703,,False,True,True
NCT01440088,Single-Arm,False,False,True
NCT03786094,,False,False,False
NCT01770379,Single-Arm,False,False,False
NCT01358877,Placebo,False,False,False
NCT01684878,,False,False,False
NCT01287741,,False,False,False
NCT01174004,Single-Arm,False,False,True
NCT01064401,Single-Arm,False,False,False
NCT01715285,Single-Arm,False,False,True
NCT01059630,,False,False,False
NCT01892722,,True,False,False
NCT02435433,,False,False,True
NCT02285062,Single-Arm,False,False,False
NCT00026312,,False,False,False
NCT01846611,Single-Arm,False,False,True
NCT00073528,Single-Arm,True,False,False
NCT00262847,,True,False,False
NCT00981058,Single-Arm,False,False,False
NCT02451943,Single-Arm,False,False,True
NCT01239797,Single-Arm,False,False,False
NCT01564784,Single-Arm,False,True,False
NCT02970318,Single-Arm,False,False,False
NCT03066778,SOC,True,True,True
NCT00822393,,True,False,False
NCT02535091,Single-Arm,False,False,False
NCT01261325,,True,False,False
NCT01345669,Single-Arm,False,False,False
NCT01121393,Single-Arm,True,False,False
NCT01523587,Single-Arm,False,False,False
NCT01405053,,True,False,False
NCT03070392,Single-Arm,True,True,False
NCT01713946,Single-Arm,False,False,False
NCT02504489,Single-Arm,False,True,False
NCT02264574,Single-Arm,False,False,False
NCT01974440,Single-Arm,True,False,True
NCT04855747,Placebo,False,False,False
NCT02942004,Single-Arm,False,False,False
NCT02952586,SOC,False,False,False
