Trial_ID,study_version,minimum_age,maximum_age,num_conditions,NO_INTERVENTION,OTHER,PLACEBO_COMPARATOR,ACTIVE_COMPARATOR,SHAM_COMPARATOR,EXPERIMENTAL
NCT02125461,47,18,130,1,0.0,0.0,1.0,0.0,0.0,1.0
NCT01721746,89,18,130,1,0.0,0.0,0.0,1.0,0.0,1.0
NCT04008030,81,18,130,1,0.0,0.0,0.0,1.0,0.0,2.0
NCT02617589,83,18,130,1,0.0,0.0,0.0,1.0,0.0,1.0
NCT00910247,65,16,70,1,0.0,0.0,0.0,0.0,0.0,1.0
NCT01668784,78,18,130,1,0.0,0.0,0.0,1.0,0.0,1.0
NCT02231749,96,18,130,2,0.0,0.0,0.0,1.0,0.0,1.0
NCT01642004,54,18,130,1,0.0,0.0,0.0,0.0,0.0,2.0
NCT02555657,51,18,130,1,0.0,0.0,0.0,1.0,0.0,1.0
NCT02494583,54,18,130,1,0.0,0.0,1.0,0.0,0.0,2.0
NCT02684292,54,18,130,1,0.0,0.0,0.0,1.0,0.0,1.0
NCT02362594,38,18,130,1,0.0,0.0,1.0,0.0,0.0,1.0
NCT01074047,23,65,130,1,0.0,0.0,0.0,1.0,0.0,1.0
NCT04303780,34,18,100,1,0.0,0.0,0.0,1.0,0.0,1.0
NCT02576977,44,18,130,1,0.0,0.0,0.0,1.0,0.0,1.0
NCT02625623,28,18,130,2,0.0,0.0,0.0,1.0,0.0,1.0
NCT02625610,39,18,130,1,0.0,0.0,0.0,0.0,0.0,2.0
NCT02853331,40,18,130,1,0.0,0.0,0.0,1.0,0.0,1.0
NCT02220894,50,18,130,1,0.0,0.0,0.0,1.0,0.0,1.0
NCT01908426,52,18,130,1,0.0,0.0,1.0,0.0,0.0,1.0
NCT05418673,19,30,80,1,0.0,0.0,1.0,0.0,0.0,1.0
NCT02576574,50,18,130,1,0.0,0.0,0.0,1.0,0.0,2.0
NCT02684006,63,18,130,1,0.0,0.0,0.0,1.0,0.0,1.0
NCT02788279,22,18,130,1,0.0,0.0,0.0,1.0,0.0,2.0
NCT02027428,46,18,130,1,0.0,1.0,0.0,0.0,0.0,1.0
NCT02008227,93,18,130,1,0.0,0.0,0.0,1.0,0.0,1.0
