Trial_ID,Trial Endpoint Time in Days,Presence of 'Overall Survival' (OS),Presence of 'Progression Free Survival' (PFS),Presence of 'Objective Response Rate' (ORR)
NCT02125461,1460.0,True,True,False
NCT01721746,2880.0,True,False,True
NCT04008030,1825.0,False,False,False
NCT02617589,1095.0,True,False,False
NCT00910247,365.0,False,False,False
NCT01668784,900.0,True,False,False
NCT02231749,930.0,True,True,True
NCT01642004,750.0,True,False,False
NCT02555657,1080.0,True,False,False
NCT02494583,1260.0,True,True,False
NCT02684292,1200.0,True,False,False
NCT02362594,180.0,False,False,False
NCT01074047,1200.0,True,False,False
NCT04303780,90.0,False,True,False
NCT02576977,1620.0,True,True,False
NCT02625623,627.0,True,False,False
NCT02625610,1276.0,True,False,False
NCT02853331,660.0,True,True,False
NCT02220894,1320.0,True,False,False
NCT01908426,1350.0,True,False,False
NCT05418673,,False,False,False
NCT02576574,150.0,True,True,False
NCT02684006,2670.0,True,True,False
NCT02788279,600.0,True,False,False
NCT02027428,180.0,False,False,False
NCT02008227,31755.0,True,False,False
NCT01844505,1170.0,True,True,False
NCT02763579,690.0,True,False,False
NCT02979899,750.0,False,True,False
NCT02425891,1740.0,True,True,False
NCT05827081,1095.0,False,False,False
NCT01057810,1710.0,True,False,False
NCT01450761,1140.0,True,False,False
NCT03924869,240.0,False,False,False
NCT01161498,730.0,False,False,False
NCT00769704,600.0,False,False,False
NCT02013167,240.0,True,False,False
NCT03155997,960.0,False,False,False
NCT01160211,1825.0,False,True,False
NCT00002093,,False,False,False
NCT04427072,630.0,False,True,False
NCT00887822,1020.0,True,False,False
NCT02437318,90.0,False,True,False
NCT01974752,42.0,False,True,False
NCT03642132,126.0,False,False,False
NCT02107703,930.0,False,True,False
NCT01440088,730.0,True,False,False
NCT03786094,,False,True,False
NCT01770379,,False,False,False
NCT01358877,1770.0,False,False,False
NCT01684878,1320.0,False,True,False
NCT01287741,1825.0,False,True,False
NCT01174004,,False,False,False
NCT01064401,12775.0,False,False,False
NCT01715285,1980.0,True,True,False
NCT01059630,1825.0,False,True,False
NCT01892722,720.0,False,False,False
NCT02435433,840.0,True,False,False
NCT02285062,150.0,False,True,False
NCT00026312,1095.0,False,False,False
NCT01846611,1095.0,True,False,False
NCT00073528,1380.0,False,True,False
NCT00262847,2190.0,False,False,False
NCT00981058,930.0,True,False,False
NCT02451943,240.0,True,False,False
NCT01239797,1140.0,False,True,True
NCT01564784,1825.0,True,False,False
NCT02970318,660.0,False,False,False
NCT03066778,150.0,True,True,False
NCT00822393,730.0,False,False,False
NCT02535091,1505.0,False,False,False
NCT01261325,84.0,False,False,False
NCT01345669,1825.0,False,False,False
NCT01121393,84.0,False,False,False
NCT01523587,1058.0,False,True,False
NCT01405053,,False,False,False
NCT03070392,30.0,True,False,False
NCT01713946,,False,False,False
NCT02504489,730.0,True,False,False
NCT02264574,1440.0,False,True,False
NCT01974440,2920.0,False,True,False
NCT04855747,,False,False,False
NCT02942004,,False,False,False
NCT02952586,1110.0,False,True,False
NCT03511664,1980.0,True,False,False
NCT01682083,1825.0,False,False,False
NCT03104374,,False,False,False
NCT01311687,518.0,False,True,False
NCT01996865,2920.0,False,True,False
NCT01709578,,False,False,False
NCT03358875,1290.0,True,False,False
NCT01774344,419.0,True,False,False
NCT02187367,1095.0,True,False,False
NCT03594747,730.0,False,True,False
NCT02395172,1420.0,True,False,False
NCT01584648,2190.0,False,True,False
NCT02436668,2610.0,True,True,False
NCT01721057,,False,False,False
NCT01072981,1440.0,True,False,False
NCT00790036,2190.0,False,False,False
NCT03761225,1800.0,False,True,False
NCT01492686,168.0,False,False,False
NCT04100018,930.0,True,False,False
NCT02752074,720.0,True,False,False
NCT01605227,720.0,True,False,False
NCT01023308,1350.0,False,True,False
NCT02990338,49.0,False,True,False
NCT01865747,510.0,False,True,False
NCT01650805,360.0,False,False,False
NCT04269200,1460.0,False,True,False
NCT01265849,3390.0,True,False,False
NCT01599754,1825.0,False,False,False
NCT01454934,1110.0,True,False,False
NCT03038100,1770.0,True,True,False
NCT02246621,960.0,False,True,False
NCT04572243,98.0,False,False,False
NCT00139841,180.0,False,False,False
NCT01946204,1290.0,False,False,False
NCT01847274,2555.0,False,True,False
NCT04793958,900.0,True,False,False
NCT02003924,240.0,False,False,False
NCT00375674,1825.0,False,False,False
NCT03937219,690.0,False,False,False
NCT01327885,1825.0,True,False,False
NCT00785785,,False,True,False
NCT01223027,,False,True,False
NCT00281658,1590.0,True,False,False
NCT00424255,,False,False,False
NCT03596866,240.0,False,True,False
NCT02422615,780.0,False,True,False
NCT01437787,180.0,False,False,False
NCT01265901,,True,False,False
NCT00878709,730.0,False,False,False
NCT00651261,3650.0,True,False,False
NCT01761266,2920.0,True,False,False
NCT02075840,990.0,False,True,False
NCT03273153,480.0,False,True,False
NCT02296125,540.0,False,True,False
NCT02000622,900.0,False,False,False
NCT01828099,1020.0,False,True,False
NCT01077154,,False,False,False
NCT01999673,1080.0,True,False,False
NCT01813253,1825.0,True,False,False
NCT02134015,1460.0,True,True,False
NCT01945775,270.0,False,True,False
NCT01555710,365.0,True,False,False
NCT01774721,1440.0,False,True,False
NCT03125902,780.0,False,True,False
NCT01667562,1460.0,False,True,False
NCT02390947,1095.0,True,False,False
NCT02766140,900.0,True,False,False
NCT02322281,1050.0,False,True,False
NCT03095040,360.0,False,False,False
NCT01829711,2190.0,False,False,False
NCT02039726,1095.0,True,False,False
NCT01280565,168.0,False,False,True
NCT02470585,840.0,False,True,False
NCT02106546,1095.0,True,False,False
NCT02163694,150.0,False,True,False
NCT02481830,240.0,True,False,False
NCT01933932,1095.0,False,True,False
NCT02340221,1825.0,False,True,False
NCT01673867,870.0,True,False,False
NCT01000025,1260.0,True,False,False
NCT02718417,810.0,False,True,False
NCT03141177,930.0,False,True,False
NCT01402908,,False,False,False
NCT01924533,1460.0,True,False,False
NCT02184195,1460.0,False,True,False
NCT02449239,720.0,False,False,False
NCT01909453,1050.0,False,True,False
NCT01772472,1920.0,False,False,False
NCT02302807,750.0,True,False,False
NCT01303796,1290.0,True,False,False
NCT02546102,1380.0,True,False,False
NCT01968213,1095.0,False,True,False
NCT01707992,90.0,False,False,False
NCT01844986,1092.0,False,True,False
NCT01874353,1080.0,False,True,False
NCT02987543,120.0,False,True,False
NCT02821416,,False,False,False
NCT00364351,90.0,False,False,False
NCT01696084,,True,False,False
NCT02256436,600.0,True,True,False
NCT02421939,240.0,True,False,False
NCT02004522,1095.0,False,False,False
NCT02702401,900.0,True,True,False
NCT02142738,63.0,False,True,False
NCT00673049,1950.0,True,False,False
NCT02775435,570.0,True,True,False
NCT01232556,1825.0,True,False,False
NCT01332968,1460.0,False,False,False
NCT01578499,240.0,False,False,False
NCT01712490,1460.0,False,False,False
NCT03390504,210.0,True,False,False
NCT02388906,1080.0,False,False,False
NCT01746979,730.0,True,False,False
NCT01956812,720.0,True,False,False
NCT02578680,630.0,True,True,False
NCT00565851,360.0,True,False,False
NCT02105636,540.0,True,False,False
NCT01662869,1140.0,True,False,False
NCT00789828,1460.0,False,False,False
NCT01722487,540.0,False,True,False
NCT03262935,,False,True,False
NCT01479244,1080.0,False,False,False
NCT01524783,810.0,False,True,False
NCT03504410,360.0,False,False,False
NCT01482962,1095.0,False,True,False
NCT00861614,1825.0,True,False,False
NCT03268954,1260.0,False,False,False
NCT02993731,1095.0,True,False,False
NCT02629848,720.0,False,True,False
NCT01757535,60.0,True,False,False
NCT03051607,196.0,False,False,False
NCT04335006,1260.0,False,False,False
NCT02200614,1440.0,False,False,False
NCT03447769,1460.0,False,False,False
NCT03626545,540.0,True,False,False
NCT01767857,540.0,True,False,False
NCT02274766,,False,False,False
NCT02826161,1080.0,True,False,False
NCT00974974,154.0,False,False,False
NCT00627640,168.0,False,False,False
NCT02252172,1825.0,False,True,False
NCT01568073,105.0,False,False,False
NCT01610284,1460.0,False,True,False
NCT01849874,720.0,False,True,False
NCT03834506,840.0,True,False,False
NCT01722331,84.0,False,False,False
NCT01630733,1800.0,True,False,False
NCT01636687,84.0,False,False,False
NCT03986424,168.0,False,False,False
NCT02672852,,False,False,False
NCT04928846,1170.0,True,True,False
NCT03834493,1200.0,True,False,False
NCT02445807,,False,False,False
NCT02346240,,False,False,False
NCT02264990,90.0,True,False,False
NCT01708629,84.0,False,False,False
NCT01875003,756.0,False,False,False
NCT02588261,450.0,False,True,False
NCT01798485,1080.0,True,False,False
NCT03789604,1825.0,False,False,False
NCT02797080,,False,False,False
NCT02152631,960.0,True,False,False
NCT01090427,,False,False,False
NCT04305327,,False,False,False
NCT03906071,1320.0,True,False,False
NCT02767804,1080.0,False,False,False
NCT01377376,,True,False,False
NCT02606760,,False,False,False
NCT01947491,,False,False,False
NCT01987960,,False,False,False
NCT00042068,84.0,False,False,False
NCT02760407,,False,False,False
NCT01856309,1095.0,False,False,False
NCT01377012,,False,False,False
NCT01234311,1825.0,False,False,False
NCT02438007,240.0,False,False,False
NCT02048813,1460.0,False,True,False
NCT04844749,360.0,False,False,False
NCT01183780,1080.0,True,False,False
NCT00399035,84.0,True,False,False
NCT01001377,1085.0,True,False,False
NCT02077868,1080.0,True,False,False
NCT02605044,1800.0,True,False,False
NCT02870582,730.0,True,False,False
NCT02016482,,False,False,False
NCT02149108,,True,True,False
NCT04053387,308.0,False,False,False
NCT03686683,1095.0,False,False,False
NCT02319837,,False,False,False
NCT01309126,540.0,True,False,False
NCT01875653,1560.0,True,False,False
NCT01866319,360.0,True,True,False
NCT01689519,2555.0,False,False,False
NCT01958021,690.0,False,True,False
NCT02967692,2920.0,False,True,False
NCT02288897,84.0,False,True,False
NCT04322539,660.0,True,False,False
NCT02678572,1080.0,False,False,True
NCT02151981,570.0,False,True,False
NCT02905331,,False,False,False
NCT02462083,,False,False,False
NCT01866163,28.0,False,False,False
NCT00876395,1680.0,False,True,False
NCT02267135,84.0,False,False,False
NCT02008890,,False,False,False
NCT01807520,112.0,False,False,False
NCT03668613,,False,False,False
NCT03897088,,False,False,False
NCT03701763,,False,False,False
NCT03777436,,False,False,False
NCT02629159,,False,False,False
NCT01939223,,False,False,False
NCT04009317,1080.0,False,True,False
NCT03134872,720.0,False,False,False
NCT03668496,720.0,False,False,False
NCT04203485,730.0,True,True,False
NCT02367781,1050.0,True,True,False
NCT03866993,730.0,False,True,False
NCT03274492,1140.0,False,False,False
NCT04182204,1650.0,True,False,False
NCT03773302,,False,True,False
NCT02263508,42.0,True,True,False
NCT01579188,730.0,True,False,False
NCT01887886,1095.0,False,False,False
NCT00322452,42.0,False,True,False
NCT00779402,90.0,False,False,False
NCT03750786,300.0,False,False,False
NCT02908672,990.0,False,True,False
NCT01607957,360.0,True,False,False
NCT02511106,2100.0,False,False,False
NCT01345682,1800.0,False,True,False
NCT02489318,1710.0,True,False,False
NCT02615873,,False,False,False
NCT03329508,,False,False,False
NCT00360568,360.0,False,False,False
NCT03670953,3.0,False,False,False
NCT04379050,,False,False,False
NCT03025308,2190.0,False,False,False
NCT00641537,,False,False,False
NCT02634307,686.0,False,False,False
NCT00955526,,False,False,False
NCT01014208,1825.0,False,False,False
NCT03349710,100.0,False,False,False
NCT02541383,780.0,False,True,False
NCT03452137,1825.0,False,False,False
NCT00085709,730.0,False,False,False
NCT02224560,,False,False,False
NCT00761774,3285.0,False,False,False
NCT01389596,56.0,False,False,False
NCT02072824,,False,False,False
NCT02519439,56.0,False,False,False
NCT04391569,28.0,False,False,False
NCT03572933,119.0,False,False,False
NCT01393743,91.0,False,False,False
NCT03739840,84.0,False,False,False
NCT02823145,,False,False,False
NCT03864614,364.0,False,False,False
NCT04371666,,False,False,False
NCT00310375,3285.0,False,False,False
NCT04128696,480.0,True,True,False
NCT00629551,56.0,False,False,False
NCT00531622,,False,False,False
NCT02450331,1500.0,False,False,False
NCT03353753,450.0,False,True,False
NCT02417064,,False,False,False
NCT02951988,728.0,False,False,False
NCT03675776,,False,False,False
NCT02041533,840.0,False,False,False
NCT04000009,364.0,False,False,False
NCT01360632,,False,False,False
NCT03610048,476.0,False,False,False
NCT04853407,56.0,False,False,False
NCT02046564,56.0,False,False,False
NCT02576509,1230.0,True,False,False
NCT03110575,84.0,False,False,False
NCT01850524,2370.0,False,True,False
NCT02516241,1825.0,False,False,False
NCT02677896,180.0,False,False,False
NCT00744497,1350.0,True,False,False
NCT02698475,,False,False,False
NCT01290939,,True,False,False
NCT03040999,1860.0,False,False,False
NCT02611960,1590.0,True,False,False
NCT02785900,1825.0,True,False,False
NCT03997123,1260.0,True,False,False
NCT01905592,1460.0,False,True,False
NCT02255552,,False,False,False
NCT02043678,1410.0,False,False,False
NCT02492711,630.0,True,True,False
NCT03197935,,False,False,False
NCT03726879,180.0,False,False,False
NCT03588091,365.0,False,False,False
NCT02482753,1095.0,False,True,False
NCT02574455,270.0,False,True,False
NCT03901339,240.0,False,True,False
NCT01808573,1770.0,True,True,False
NCT01343277,1095.0,True,False,False
NCT03520959,1980.0,True,True,False
NCT01410565,720.0,False,False,False
NCT00098475,112.0,False,False,False
NCT03495921,1095.0,False,True,False
NCT04208178,1140.0,False,True,False
NCT03673501,365.0,False,True,False
NCT03371017,1740.0,True,False,False
NCT05043402,730.0,False,True,False
NCT02032823,1825.0,False,False,False
