active_not_recruiting_days,completed_days,not_yet_recruiting_days,recruiting_days,suspended_days,terminated_days,enrolling_by_invitation_days,unknown_days,withheld_days,Trial_ID
2723.0,634.0,25.0,688.0,0.0,0.0,0.0,0.0,0.0,NCT02125461
3038.0,1181.0,74.0,316.0,0.0,0.0,0.0,0.0,0.0,NCT01721746
112.0,0.0,27.0,2037.0,0.0,0.0,0.0,0.0,0.0,NCT04008030
784.0,1188.0,106.0,1412.0,0.0,0.0,0.0,0.0,0.0,NCT02617589
1410.0,2979.0,116.0,1358.0,0.0,0.0,0.0,0.0,0.0,NCT00910247
2886.0,1208.0,63.0,530.0,0.0,0.0,0.0,0.0,0.0,NCT01668784
3319.0,32.0,71.0,517.0,0.0,0.0,0.0,0.0,0.0,NCT02231749
2988.0,1232.0,99.0,399.0,0.0,0.0,0.0,0.0,0.0,NCT01642004
1350.0,1678.0,34.0,497.0,0.0,0.0,0.0,0.0,0.0,NCT02555657
1871.0,1090.0,33.0,637.0,0.0,0.0,0.0,0.0,0.0,NCT02494583
2513.0,0.0,111.0,788.0,0.0,0.0,0.0,0.0,0.0,NCT02684292
3183.0,0.0,190.0,407.0,0.0,0.0,0.0,0.0,0.0,NCT02362594
1490.0,3119.0,155.0,829.0,0.0,0.0,0.0,0.0,0.0,NCT01074047
1511.0,0.0,95.0,319.0,0.0,0.0,0.0,0.0,0.0,NCT04303780
824.0,140.0,16.0,595.0,301.0,1657.0,0.0,0.0,0.0,NCT02576977
952.0,2014.0,0.0,516.0,0.0,0.0,0.0,0.0,0.0,NCT02625623
1299.0,1456.0,14.0,713.0,0.0,0.0,0.0,0.0,0.0,NCT02625610
2708.0,0.0,58.0,478.0,0.0,0.0,0.0,0.0,0.0,NCT02853331
1862.0,994.0,38.0,1060.0,0.0,0.0,0.0,0.0,0.0,NCT02220894
1269.0,1530.0,55.0,1491.0,0.0,0.0,0.0,0.0,0.0,NCT01908426
72.0,0.0,83.0,293.0,0.0,654.0,0.0,0.0,0.0,NCT05418673
1974.0,454.0,8.0,1097.0,0.0,0.0,0.0,0.0,0.0,NCT02576574
2187.0,350.0,53.0,823.0,0.0,0.0,0.0,0.0,0.0,NCT02684006
571.0,2341.0,30.0,360.0,0.0,0.0,0.0,0.0,0.0,NCT02788279
735.0,2127.0,117.0,1204.0,0.0,0.0,0.0,0.0,0.0,NCT02027428
1337.0,2334.0,83.0,456.0,0.0,0.0,0.0,0.0,0.0,NCT02008227
3733.0,361.0,56.0,280.0,0.0,0.0,0.0,0.0,0.0,NCT01844505
1590.0,929.0,9.0,802.0,0.0,0.0,0.0,0.0,0.0,NCT02763579
162.0,2082.0,77.0,800.0,0.0,0.0,0.0,0.0,0.0,NCT02979899
1490.0,1365.0,38.0,816.0,0.0,0.0,0.0,0.0,0.0,NCT02425891
0.0,0.0,491.0,100.0,205.0,0.0,0.0,0.0,0.0,NCT05827081
1029.0,3575.0,197.0,819.0,0.0,0.0,0.0,0.0,0.0,NCT01057810
754.0,2924.0,114.0,1205.0,0.0,0.0,0.0,0.0,0.0,NCT01450761
415.0,119.0,65.0,1629.0,0.0,19.0,0.0,0.0,0.0,NCT03924869
0.0,0.0,199.0,187.0,0.0,5067.0,0.0,0.0,0.0,NCT01161498
1174.0,3912.0,187.0,822.0,0.0,0.0,0.0,0.0,0.0,NCT00769704
546.0,0.0,30.0,643.0,0.0,2986.0,0.0,0.0,0.0,NCT02013167
2298.0,0.0,63.0,593.0,0.0,0.0,0.0,0.0,0.0,NCT03155997
2247.0,1102.0,315.0,1793.0,0.0,0.0,0.0,0.0,0.0,NCT01160211
0.0,7298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NCT00002093
414.0,385.0,104.0,750.0,0.0,180.0,0.0,0.0,0.0,NCT04427072
1614.0,3975.0,0.0,309.0,0.0,0.0,0.0,0.0,0.0,NCT00887822
1979.0,719.0,94.0,904.0,0.0,0.0,0.0,0.0,0.0,NCT02437318
672.0,3085.0,193.0,299.0,0.0,0.0,0.0,0.0,0.0,NCT01974752
1001.0,414.0,0.0,248.0,0.0,829.0,0.0,0.0,0.0,NCT03642132
2872.0,0.0,118.0,1101.0,0.0,0.0,0.0,0.0,0.0,NCT02107703
818.0,3302.0,0.0,895.0,0.0,0.0,0.0,0.0,0.0,NCT01440088
1027.0,0.0,179.0,528.0,0.0,636.0,0.0,0.0,0.0,NCT03786094
0.0,234.0,0.0,1007.0,0.0,3294.0,0.0,0.0,0.0,NCT01770379
3961.0,180.0,214.0,786.0,0.0,0.0,0.0,0.0,0.0,NCT01358877
449.0,3268.0,7.0,936.0,0.0,0.0,0.0,0.0,0.0,NCT01684878
1296.0,412.0,191.0,1090.0,0.0,2261.0,0.0,0.0,0.0,NCT01287741
0.0,4578.0,0.0,857.0,0.0,0.0,0.0,0.0,0.0,NCT01174004
813.0,3888.0,178.0,731.0,0.0,0.0,0.0,0.0,0.0,NCT01064401
2594.0,1151.0,147.0,726.0,0.0,0.0,0.0,0.0,0.0,NCT01715285
1474.0,2309.0,47.0,1788.0,0.0,0.0,0.0,0.0,0.0,NCT01059630
1218.0,0.0,31.0,3119.0,0.0,0.0,0.0,0.0,0.0,NCT01892722
231.0,1258.0,84.0,2126.0,0.0,0.0,0.0,0.0,0.0,NCT02435433
1851.0,1032.0,86.0,908.0,0.0,0.0,0.0,0.0,0.0,NCT02285062
2399.0,1205.0,0.0,3582.0,107.0,0.0,0.0,0.0,0.0,NCT00026312
371.0,2342.0,142.0,1574.0,0.0,0.0,0.0,0.0,0.0,NCT01846611
4111.0,2586.0,0.0,601.0,0.0,0.0,0.0,0.0,0.0,NCT00073528
2136.0,3590.0,0.0,1312.0,94.0,0.0,0.0,0.0,0.0,NCT00262847
4529.0,327.0,143.0,748.0,0.0,0.0,0.0,0.0,0.0,NCT00981058
2972.0,269.0,118.0,321.0,0.0,0.0,0.0,0.0,0.0,NCT02451943
3165.0,1361.0,180.0,626.0,0.0,0.0,0.0,0.0,0.0,NCT01239797
1001.0,2741.0,130.0,958.0,0.0,0.0,0.0,0.0,0.0,NCT01564784
2286.0,0.0,0.0,846.0,0.0,0.0,0.0,0.0,0.0,NCT02970318
1168.0,1357.0,71.0,439.0,0.0,0.0,0.0,0.0,0.0,NCT03066778
1080.0,2639.0,0.0,2279.0,0.0,0.0,0.0,0.0,0.0,NCT00822393
1070.0,1238.0,367.0,908.0,0.0,0.0,0.0,0.0,0.0,NCT02535091
160.0,4036.0,0.0,1101.0,0.0,0.0,0.0,0.0,0.0,NCT01261325
0.0,0.0,201.0,1728.0,0.0,3233.0,0.0,0.0,0.0,NCT01345669
2199.0,2734.0,0.0,582.0,0.0,0.0,0.0,0.0,0.0,NCT01121393
1420.0,2736.0,37.0,693.0,0.0,0.0,0.0,0.0,0.0,NCT01523587
669.0,3479.0,0.0,925.0,0.0,0.0,0.0,0.0,0.0,NCT01405053
1789.0,0.0,114.0,1127.0,0.0,0.0,0.0,0.0,0.0,NCT03070392
917.0,2693.0,218.0,792.0,0.0,0.0,0.0,0.0,0.0,NCT01713946
590.0,1011.0,0.0,2017.0,0.0,0.0,0.0,0.0,0.0,NCT02504489
1474.0,2045.0,11.0,373.0,0.0,0.0,0.0,0.0,0.0,NCT02264574
2795.0,670.0,128.0,656.0,0.0,0.0,0.0,0.0,0.0,NCT01974440
0.0,0.0,0.0,1367.0,0.0,152.0,0.0,0.0,0.0,NCT04855747
28.0,2775.0,0.0,358.0,0.0,0.0,0.0,0.0,0.0,NCT02942004
461.0,0.0,80.0,831.0,0.0,1778.0,0.0,0.0,0.0,NCT02952586
1598.0,523.0,27.0,460.0,0.0,0.0,0.0,0.0,0.0,NCT03511664
3040.0,670.0,153.0,802.0,0.0,0.0,0.0,0.0,0.0,NCT01682083
2020.0,223.0,0.0,634.0,0.0,0.0,118.0,0.0,0.0,NCT03104374
1831.0,2821.0,8.0,554.0,0.0,0.0,0.0,0.0,0.0,NCT01311687
1685.0,259.0,153.0,2127.0,0.0,0.0,0.0,0.0,0.0,NCT01996865
57.0,3701.0,23.0,845.0,0.0,0.0,0.0,0.0,0.0,NCT01709578
1383.0,500.0,0.0,875.0,0.0,0.0,0.0,0.0,0.0,NCT03358875
1244.0,2141.0,125.0,1017.0,0.0,0.0,0.0,0.0,0.0,NCT01774344
173.0,0.0,314.0,1401.0,0.0,2107.0,0.0,0.0,0.0,NCT02187367
1442.0,711.0,216.0,155.0,0.0,0.0,0.0,0.0,0.0,NCT03594747
988.0,2054.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,NCT02395172
2154.0,2267.0,24.0,357.0,0.0,0.0,0.0,0.0,0.0,NCT01584648
826.0,2169.0,0.0,699.0,0.0,0.0,0.0,0.0,0.0,NCT02436668
168.0,3829.0,70.0,543.0,0.0,0.0,0.0,0.0,0.0,NCT01721057
1098.0,3191.0,61.0,1246.0,0.0,0.0,0.0,0.0,0.0,NCT01072981
697.0,3219.0,229.0,1915.0,0.0,0.0,0.0,0.0,0.0,NCT00790036
206.0,1474.0,0.0,710.0,0.0,0.0,0.0,0.0,0.0,NCT03761225
683.0,3651.0,0.0,599.0,0.0,0.0,0.0,0.0,0.0,NCT01492686
261.0,333.0,133.0,1369.0,0.0,0.0,0.0,0.0,0.0,NCT04100018
716.0,2125.0,52.0,449.0,0.0,0.0,0.0,0.0,0.0,NCT02752074
564.0,3717.0,12.0,479.0,0.0,0.0,0.0,0.0,0.0,NCT01605227
1091.0,3556.0,35.0,994.0,0.0,0.0,0.0,0.0,0.0,NCT01023308
1988.0,580.0,13.0,531.0,0.0,0.0,0.0,0.0,0.0,NCT02990338
2338.0,1537.0,2.0,523.0,0.0,0.0,0.0,0.0,0.0,NCT01865747
0.0,0.0,0.0,451.0,0.0,4259.0,0.0,0.0,0.0,NCT01650805
560.0,0.0,119.0,1272.0,0.0,0.0,0.0,0.0,0.0,NCT04269200
1268.0,1481.0,0.0,2541.0,0.0,0.0,0.0,0.0,0.0,NCT01265849
723.0,0.0,0.0,1458.0,0.0,2600.0,0.0,0.0,0.0,NCT01599754
1207.0,3281.0,0.0,503.0,0.0,0.0,0.0,0.0,0.0,NCT01454934
1278.0,952.0,35.0,794.0,0.0,0.0,0.0,0.0,0.0,NCT03038100
3527.0,0.0,53.0,344.0,0.0,0.0,0.0,0.0,0.0,NCT02246621
0.0,0.0,0.0,1504.0,0.0,216.0,0.0,0.0,0.0,NCT04572243
1208.0,5495.0,0.0,528.0,0.0,0.0,0.0,0.0,0.0,NCT00139841
3097.0,0.0,24.0,1169.0,0.0,0.0,0.0,0.0,0.0,NCT01946204
1459.0,2248.0,81.0,639.0,0.0,0.0,0.0,0.0,0.0,NCT01847274
529.0,0.0,9.0,1023.0,0.0,0.0,0.0,0.0,0.0,NCT04793958
2895.0,0.0,0.0,1318.0,0.0,0.0,0.0,0.0,0.0,NCT02003924
939.0,2715.0,328.0,2870.0,0.0,0.0,0.0,0.0,0.0,NCT00375674
1482.0,102.0,61.0,592.0,0.0,0.0,0.0,0.0,0.0,NCT03937219
1205.0,3162.0,0.0,823.0,0.0,0.0,0.0,0.0,0.0,NCT01327885
1129.0,3630.0,127.0,1182.0,0.0,0.0,0.0,0.0,0.0,NCT00785785
602.0,3840.0,137.0,779.0,0.0,0.0,0.0,0.0,0.0,NCT01223027
4723.0,1245.0,0.0,1115.0,0.0,0.0,0.0,0.0,0.0,NCT00281658
574.0,4197.0,0.0,1954.0,0.0,0.0,0.0,0.0,0.0,NCT00424255
644.0,266.0,271.0,1349.0,0.0,0.0,0.0,0.0,0.0,NCT03596866
2288.0,866.0,89.0,471.0,0.0,0.0,0.0,0.0,0.0,NCT02422615
664.0,3976.0,80.0,298.0,0.0,0.0,0.0,0.0,0.0,NCT01437787
1047.0,3591.0,0.0,652.0,0.0,0.0,0.0,0.0,0.0,NCT01265901
2418.0,2370.0,80.0,1045.0,0.0,0.0,0.0,0.0,0.0,NCT00878709
3590.0,0.0,11.0,1284.0,0.0,0.0,0.0,1400.0,0.0,NCT00651261
2072.0,1508.0,123.0,844.0,0.0,0.0,0.0,0.0,0.0,NCT01761266
3352.0,63.0,144.0,568.0,0.0,0.0,0.0,0.0,0.0,NCT02075840
